X,Y,LA,LO,COUNTY,NAME,IMAGE,GRADE,CLASS,NEW
382800,785300,56.9588,-2.2829,Aberdeenshire,Auquhirie,1,1,2,0
366500,778200,56.8941,-2.5500,Aberdeenshire,Clatterin Brig,1,1,2,0
331600,800400,57.0897,-3.1288,Aberdeenshire,Dalfad,1,4,3,0
339700,814000,57.2130,-2.9985,Aberdeenshire,Downingford,0,0,0,0
326800,801600,57.0997,-3.2084,Aberdeenshire,Easter Sleach,0,0,4,0
368800,748700,56.6292,-2.5086,Angus,Corbie,0,0,0,0
338600,758300,56.7125,-3.0031,Angus,Hill of Redhall,1,3,1,0
193292,716900,56.2995,-5.3413,Argyll & Bute,Allt a Chomhlachaidh Ford,1,1,4,0
195300,727700,56.3972,-5.3173,Argyll & Bute,Glen Lonan,1,2,3,0
178729,705512,56.1908,-5.5666,Argyll & Bute,Lunga Estate,3,1,4,0
178309,704139,56.1783,-5.5723,Argyll & Bute,Lunga Estate,3,1,4,0
178376,703899,56.1761,-5.5710,Argyll & Bute,Lunga Estate,3,1,4,0
214200,684900,56.0210,-4.9815,Argyll & Bute,Strath Eachaig,1,3,3,0
175145,620195,55.423913,-5.554884,Argyll & Bute,The Doirlinn,0,0,5,0
245050,640100,55.6297,-4.4615,Ayrshire,Bringan,1,3,1,0
269485,625155,55.5027,-4.0666,Ayrshire,Kames,2,1,4,0
269550,625005,55.5014,-4.0655,Ayrshire,Kames,2,1,4,0
243650,639050,55.6199,-4.4831,Ayrshire,Kilmarnock,4,3,2,0
236600,585300,55.1350,-4.5635,Ayrshire,Kings Ford,1,2,3,0
224700,607600,55.3311,-4.7639,Ayrshire,Kirkoswald,1,1,1,0
236300,621500,55.4599,-4.5893,Ayrshire,Mainholm,2,2,4,0
229770,608910,55.3447,-4.6848,Ayrshire,Maybole,1,3,1,0
264620,628200,55.5287,-4.1450,Ayrshire,Muirkirk,1,3,4,0
261900,613600,55.3969,-4.1808,Ayrshire,New Cumnock,1,3,3,0
235900,588100,55.1599,-4.5761,Ayrshire,Tarfessock,2,2,3,0
503300,252200,52.1580,-0.4898,Bedfordshire,Clapham,1,5,4,0
493350,264150,52.2672,-0.6319,Bedfordshire,Farndish,1,2,3,0
498950,258000,52.2109,-0.5516,Bedfordshire,Felmersham Causeway,1,2,2,0
493700,244550,52.0909,-0.6322,Bedfordshire,North Crawley,1,4,4,0
500600,257100,52.2025,-0.5278,Bedfordshire,Radwell Causeway,3,2,2,0
522050,247450,52.1115,-0.2175,Bedfordshire,Sutton,1,3,1,0
504750,267900,52.2988,-0.4637,Bedfordshire,Upper Dean,1,1,1,0
476600,167800,51.4036,-0.8987,Berkshire,Arborfield Cross,2,3,3,0
476700,167400,51.3999,-0.8973,Berkshire,Arborfield Cross,2,3,3,0
445205,169367,51.42152,-1.351272,Berkshire,Bagnor,0,0,0,0
454450,170950,51.4344,-1.2166,Berkshire,Bucklebury,4,4,1,0
454300,171300,51.4376,-1.2187,Berkshire,Bucklebury,4,2,3,0
465325,167625,51.4034,-1.0608,Berkshire,Burghfield Common,1,3,1,0
476300,168900,51.4135,-0.9027,Berkshire,Carters Hill,1,2,1,0
482800,166800,51.3937,-0.8098,Berkshire,Gardeners Green,1,3,1,0
452060,163900,51.3713,-1.2520,Berkshire,Headley Ford,3,4,1,0
478200,174800,51.4663,-0.8741,Berkshire,Hurst,3,4,1,0
475200,163400,51.3642,-0.9197,Berkshire,Jouldings Farm Ford,2,3,4,0
457000,171200,51.4364,-1.1799,Berkshire,Stanford Dingley,2,2,4,0
456000,171100,51.4356,-1.1943,Berkshire,Stanford Dingley,2,2,4,0
486795,170950,51.4304,-0.7513,Berkshire,West End,2,1,4,0
486060,174105,51.4589,-0.7611,Berkshire,Westleymill,1,2,4,0
500500,174200,51.4574,-0.5533,Berkshire,Wraysbury,1,2,4,0
477700,236600,52.0219,-0.8675,Buckinghamshire,Beachampton,1,3,1,0
469633,233770,51.9976,-0.9856,Buckinghamshire,Buckingham,2,3,3,0
466800,235600,52.0144,-1.0265,Buckinghamshire,Bufflers Holt,1,2,2,0
501000,189200,51.5921,-0.5418,Buckinghamshire,Chalfont Park,1,3,4,0
498750,194100,51.6366,-0.5729,Buckinghamshire,Chalfont St Giles,2,2,1,0
502650,198950,51.6795,-0.5151,Buckinghamshire,Chenies,1,3,4,0
